Timestamp,Flight,Altitude_ft,Speed_kt,Latitude,Longitude
2026-04-09 09:24:55,CPA564,37000,512.6,23.116259,119.295603
2026-04-09 09:24:55,CRK690,35000,482.3,23.204661,119.639231
2026-04-09 09:24:55,MDA332,8000,213.9,23.016907,119.972401
2026-04-09 09:24:57,CRK690,35000,482.3,23.204661,119.639231
2026-04-09 09:24:57,MDA332,8000,213.9,23.014984,119.97295
2026-04-09 09:24:59,MDA332,8000,213.9,23.013006,119.973501
2026-04-09 09:25:01,MDA332,8000,213.7,23.010957,119.97406
2026-04-09 09:25:03,MDA332,8000,213.7,23.009049,119.974569
2026-04-09 09:25:05,MDA332,8000,212.7,23.007202,119.975098
2026-04-09 09:25:07,MDA332,8000,212.7,23.005371,119.975597
2026-04-09 09:25:09,MDA332,8000,212.7,23.005371,119.975597
2026-04-09 09:25:11,MDA332,8000,212.7,23.001434,119.976696
2026-04-09 09:25:13,MDA332,8000,212.7,22.999557,119.977245
2026-04-09 09:25:15,MDA332,8000,212.7,22.99769,119.977722
2026-04-09 09:25:17,MDA332,8000,212.7,22.99769,119.977722
2026-04-09 09:25:19,MDA332,8000,212.7,22.99769,119.977722
2026-04-09 09:25:21,MDA332,8000,212.7,22.99769,119.977722
2026-04-09 09:25:23,MDA332,8000,210.8,22.99118,119.979542
2026-04-09 09:25:25,CPA564,34425,504.1,23.2397,119.460188
2026-04-09 09:25:25,MDA332,8000,210.8,22.99118,119.979542
2026-04-09 09:25:27,CPA564,34425,504.1,23.2397,119.460188
2026-04-09 09:25:27,MDA332,8000,210.8,22.99118,119.979542
2026-04-09 09:25:29,CPA564,34425,504.1,23.2397,119.460188
2026-04-09 09:25:29,MDA332,8000,210.8,22.99118,119.979542
2026-04-09 09:25:31,CPA564,34425,504.1,23.2397,119.460188
2026-04-09 09:25:31,MDA332,8000,210.8,22.99118,119.979542
2026-04-09 09:25:33,CPA564,34425,504.1,23.2397,119.460188
2026-04-09 09:25:33,MDA332,8000,210.8,22.99118,119.979542
2026-04-09 09:25:35,CPA564,34425,501.3,23.2397,119.460188
2026-04-09 09:25:35,MDA332,8000,210.8,22.99118,119.979542
2026-04-09 09:25:37,CPA564,33850,501.3,23.2397,119.460188
2026-04-09 09:25:37,MDA332,8000,210.8,22.99118,119.979542
2026-04-09 09:25:39,CPA564,33850,501.3,23.2397,119.460188
2026-04-09 09:25:39,MDA332,8000,210.8,22.99118,119.979542
2026-04-09 09:25:41,CPA564,33700,501.3,23.2397,119.460188
2026-04-09 09:25:41,MDA332,8025,209.8,22.973064,119.984589
2026-04-09 09:25:43,CPA564,33625,499.1,23.276917,119.509976
2026-04-09 09:25:43,MDA332,8025,209.8,22.972598,119.984741
2026-04-09 09:25:45,CPA564,33550,499.1,23.2798,119.513872
2026-04-09 09:25:45,MDA332,8025,209.8,22.972598,119.984741
2026-04-09 09:25:47,CPA564,33550,499.1,23.2798,119.513872
2026-04-09 09:25:47,MDA332,8025,209.8,22.972598,119.984741
2026-04-09 09:25:49,CPA564,33550,499.1,23.2798,119.513872
2026-04-09 09:25:49,MDA332,8025,209.8,22.965408,119.986733
2026-04-09 09:25:51,CPA564,33550,499.1,23.2798,119.513872
2026-04-09 09:25:51,MDA332,8025,208.6,22.963474,119.987284
2026-04-09 09:25:53,CPA564,33550,499.1,23.2798,119.513872
2026-04-09 09:25:53,MDA332,8025,208.6,22.961517,119.987832
2026-04-09 09:25:55,CPA564,33550,499.1,23.2798,119.513872
2026-04-09 09:25:55,MDA332,8025,208.6,22.959641,119.988331
2026-04-09 09:25:57,CPA564,33550,499.1,23.2798,119.513872
2026-04-09 09:25:57,MDA332,8025,208.6,22.957901,119.988831
2026-04-09 09:25:59,CPA564,33550,499.1,23.2798,119.513872
2026-04-09 09:25:59,MDA332,8025,208.6,22.956165,119.989319
2026-04-09 09:26:01,CPA564,33550,499.1,23.2798,119.513872
2026-04-09 09:26:01,MDA332,8025,208.6,22.954239,119.989879
2026-04-09 09:26:03,CPA564,33550,499.1,23.2798,119.513872
2026-04-09 09:26:03,MDA332,8025,208.6,22.952208,119.990438
2026-04-09 09:26:05,CPA564,33550,494.1,23.2798,119.513872
2026-04-09 09:26:05,MDA332,8025,208.6,22.950256,119.990978
2026-04-09 09:26:07,CPA564,32900,494.1,23.2798,119.513872
2026-04-09 09:26:07,MDA332,8025,208.6,22.948517,119.991427
2026-04-09 09:26:09,CPA564,32900,494.1,23.2798,119.513872
2026-04-09 09:26:09,MDA332,8025,208.6,22.94664,119.991977
2026-04-09 09:26:11,CPA564,32725,494.1,23.2798,119.513872
2026-04-09 09:26:11,MDA332,8000,208.6,22.9449,119.992472
2026-04-09 09:26:13,CPA564,32725,494.1,23.2798,119.513872
2026-04-09 09:26:13,MDA332,8000,208.6,22.943436,119.992876
2026-04-09 09:26:15,CPA564,32725,494.1,23.2798,119.513872
2026-04-09 09:26:15,MDA332,8000,208.6,22.942479,119.993134
2026-04-09 09:26:17,CPA564,32725,494.1,23.2798,119.513872
2026-04-09 09:26:17,MDA332,8000,208.6,22.939453,119.993947
2026-04-09 09:26:19,CPA564,32725,494.1,23.2798,119.513872
2026-04-09 09:26:19,MDA332,8000,208.6,22.938615,119.994202
2026-04-09 09:26:21,CPA564,32425,494.1,23.2798,119.513872
2026-04-09 09:26:21,MDA332,8000,208.6,22.938615,119.994202
2026-04-09 09:26:23,CPA564,32425,494.1,23.2798,119.513872
2026-04-09 09:26:23,MDA332,8000,208.6,22.938615,119.994202
